Vouchers from paper,Vouchers with 1 or more GenBank IDs,Vouchers with 0 GenBank IDs,Vouchers linked to the species studied,Vouchers linked to other species
DNA2245,EW24-1,RVcoll16J867,EW24-23,
DNAwth_Tomares_093,EW24-10,RVLD415,EW24-25,
DNAwthmel_004,EW24-17,SatPru,EW24-7,
DNAwthmel_195,EW24-2,VL01B184,EW25-24,
DNAwthmel_305,EW24-21,VL01Q138,EW26-19,
EJ15001,EW24-23,VL05N271,EW26-21,
EreArv,EW24-25,VNLEP00004,EW28-16,
EW1-1,EW24-7,VNLEP00084,EW3-14,
EW2-1,EW25-24,,EW3-6,
EW24-1,EW26-19,,EW4-1,
EW24-10,EW26-21,,EW4-2,
EW24-17,EW28-16,,EW4-5,
EW24-2,EW3-14,,EW5-1,
EW24-21,EW3-6,,EW5-18,
EW24-23,EW4-1,,EW5-19,
EW24-25,EW4-2,,EW7-3,
EW24-7,EW4-5,,EW7-6,
EW25-24,EW5-1,,EW9-2,
EW26-19,EW5-18,,EW9-4,
EW26-21,EW5-19,,FS-a-6,
EW28-16,EW7-3,,FS-a-88,
EW3-14,EW7-6,,FS-b-1596,
EW3-6,EW9-2,,FS-b-1868,
EW4-1,EW9-4,,FS-b-2453,
EW4-2,F18,,FS-b-2465,
EW4-5,FS-2046,,FS-b-3723,
EW5-1,FS-a-342,,FS-b-3725,
EW5-18,FS-a-6,,FS-b-40,
EW5-19,FS-a-88,,FS-b-4220,
EW7-3,FS-b-1596,,GBIFCH-BOL_LEPAA_0690,
EW7-6,FS-b-1868,,GCB-M_8,
EW9-2,FS-b-2038,,HA59001,
EW9-4,FS-b-2401,,HU08D004,
F18,FS-b-2405,,HW1-1,
FS-2046,FS-b-2453,,HW1-6,
FS-a-342,FS-b-2465,,HW2-12,
FS-a-6,FS-b-3723,,HW4-4,
FS-a-88,FS-b-3725,,HW5-10,
FS-b-1596,FS-b-3797,,HW5-3,
FS-b-1868,FS-b-40,,HW5-8,
FS-b-2038,FS-b-4220,,HW6-11,
FS-b-2401,GBIFCH-BOL_LEPAA_0690,,IC02001,
FS-b-2405,GCB-M_8,,ILL_137,
FS-b-2453,HA59001,,ILL_144,
FS-b-2465,HESP-EB_01608,,ILL_153,
FS-b-3723,HU08D004,,ILL_180,
FS-b-3725,HW1-1,,ILL011,
FS-b-3797,HW1-6,,IS-102,
FS-b-40,HW2-12,,IS-106,
FS-b-4220,HW4-4,,IS-107,
GBIFCH-BOL_LEPAA_0690,HW5-10,,IS-133,
GCB-M_8,HW5-3,,IS-137,
HA59001,HW5-8,,IS-65,
HESP-EB_01608,HW6-11,,J006,
HU08D004,IC02001,,JC08001,
HW1-1,ILL_084,,JC96Q003,
HW1-6,ILL_137,,JCO1116,
HW2-12,ILL_144,,JCO1118,
HW4-4,ILL_153,,JCO1207,
HW5-10,ILL_180,,JD03A505,
HW5-3,ILL011,,JG15001,
HW5-8,IS-102,,JL10-14,
HW6-11,IS-106,,JL1-2,
IC02001,IS-107,,JL13-23,
ILL_084,IS-133,,JL16-13,
ILL_137,IS-137,,JL24-02,
ILL_144,IS-65,,JL7-7,
ILL_153,isolate_1043,,JL8-28,
ILL_180,J006,,JL9-13,
ILL011,JC00040,,JL9-14,
IS-102,JC00045,,JL9-19,
IS-106,JC08001,,JL9-2,
IS-107,JC96Q003,,JL9-6,
IS-133,JCO1116,,JM10-13,
IS-137,JCO1118,,JM10-14,
IS-65,JCO1207,,JM10-16,
isolate_1043,JD03A505,,JM12-1,
J006,JG15001,,JM4-3,
JC00040,JL10-14,,JM8-12,
JC00045,JL1-2,,JM8-13,
JC08001,JL13-23,,JM9-11,
JC96Q003,JL16-13,,JM9-3,
JCO1116,JL24-02,,JM9-6,
JCO1118,JL7-7,,KD94Q064,
JCO1207,JL8-28,,kmbs-WB031,
JD03A505,JL9-13,,kmbs-WtH018,
JG15001,JL9-14,,kmbs-WtH061,
JL10-14,JL9-19,,KS07001,
JL1-2,JL9-2,,KS16001,
JL13-23,JL9-6,,LA24,
JL16-13,JM10-13,,LA75,
JL24-02,JM10-14,,LA76,
JL7-7,JM10-16,,LA77,
JL8-28,JM12-1,,LA80,
JL9-13,JM4-3,,LA86,
JL9-14,JM8-12,,LA94,
JL9-19,JM8-13,,LR-08-D247,
JL9-2,JM9-11,,MAT99Q829,
JL9-6,JM9-3,,MAT99Q838,
JM10-13,JM9-6,,MAT99Q841,
JM10-14,KD94Q064,,MAT99Q904,
JM10-16,kmbs-WB031,,MAT99Q954,
JM12-1,kmbs-WtH018,,MAT99Q966,
JM4-3,kmbs-WtH061,,MAT99Q969,
JM8-12,KS07001,,MAT99T993,
JM8-13,KS16001,,MM00034,
JM9-11,LA24,,MM00616,
JM9-3,LA75,,MM03233,
JM9-6,LA76,,MM03333,
KD94Q064,LA77,,MM06449,
kmbs-WB031,LA80,,MM06585,
kmbs-WtH018,LA86,,MM10584,
kmbs-WtH061,LA94,,MM18672,
KN00813,LR-08-D247,,MT07001,
KrePsy,M14,,MT08032,
KS07001,M187,,MW00119,
KS16001,M318,,MW01027,
LA24,M32,,MW01114,
LA75,M339,,MW02025,
LA76,MAT99Q829,,MW06101,
LA77,MAT99Q838,,MW06105,
LA80,MAT99Q841,,MW06110,
LA86,MAT99Q904,,MW09049,
LA94,MAT99Q910,,MW11002,
LEP22825,MAT99Q923,,MW11005,
LR-08-D247,MAT99Q954,,MW15001,
LycDis,MAT99Q966,,MW15008,
M14,MAT99Q969,,MW16004,
M187,MAT99Q972,,MW16017,
M318,MAT99T993,,MW17001,
M32,MM00034,,MW17008,
M339,MM00616,,MW17012,
MAT99Q829,MM03233,,MW99018,
MAT99Q838,MM03333,,MW99520,
MAT99Q841,MM04799,,MWT93E012,
MAT99Q904,MM06449,,MZH_JL5,
MAT99Q910,MM06585,,NGK02C411,
MAT99Q923,MM10584,,NHMO-06035,
MAT99Q954,MM18672,,NHMO-06179,
MAT99Q966,MT07001,,NIBGE-BUT-00240,
MAT99Q969,MT08032,,NK00P103,
MAT99Q972,MW00119,,NK00P108,
MAT99T993,MW01027,,NK00P135,
MM00034,MW01114,,NK00P562,
MM00616,MW02025,,NK00P594,
MM03233,MW06101,,NK00P596,
MM03333,MW06105,,NK00P712,
MM04799,MW06110,,NK00P753,
MM06449,MW09049,,NK00P859,
MM06585,MW11002,,NW100-1,
MM10584,MW11005,,NW10-24,
MM18672,MW15001,,NW103-12,
MT07001,MW15008,,NW104-15,
MT08032,MW16004,,NW105-1,
MW00119,MW16017,,NW108-21,
MW01027,MW17001,,NW118-22,
MW01114,MW17008,,NW131-2,
MW02025,MW17012,,NW131-4,
MW06101,MW99018,,NW137-5,
MW06105,MW99520,,NW138-12,
MW06110,MWT93E012,,NW142-17,
MW09049,MZH_JL5,,NW142-19,
MW11002,NGK02C411,,NW143-7,
MW11005,NHMO-06035,,NW147-3,
MW15001,NHMO-06179,,NW149-3,
MW15008,NIBGE-BUT-00240,,NW149-4,
MW16004,NK00P103,,NW149-5,
MW16017,NK00P108,,NW151-1,
MW17001,NK00P135,,NW151-13,
MW17008,NK00P562,,NW151-2,
MW17012,NK00P594,,NW151-21,
MW99018,NK00P596,,NW156-23,
MW99520,NK00P712,,NW162-17,
MWT93E012,NK00P753,,NW162-18,
MZH_JL5,NK00P859,,NW162-21,
NGK02C411,NW100-1,,NW167-15,
NHMO-06035,NW10-24,,NW172-19,
NHMO-06179,NW103-12,,NW173-1,
NIBGE-BUT-00240,NW104-15,,NW175-1,
NK00P103,NW105-1,,NW177-13,
NK00P108,NW108-21,,NW17717,
NK00P135,NW118-22,,NW17718,
NK00P562,NW131-2,,NW17723,
NK00P594,NW131-4,,NW17724,
NK00P596,NW137-5,,NW17797,
NK00P712,NW138-12,,NW17801,
NK00P753,NW142-17,,NW17892,
NK00P859,NW142-19,,NW1-8,
NP13A032,NW143-7,,NW23-2,
NW100-1,NW147-3,,NW23-5,
NW10-24,NW149-3,,NW23-6,
NW103-12,NW149-4,,NW24-13,
NW104-15,NW149-5,,NW28-1,
NW105-1,NW151-1,,NW62-2,
NW108-21,NW151-13,,NW63-21,
NW118-22,NW151-19,,NW63-3,
NW131-2,NW151-2,,NW6-4,
NW131-4,NW151-21,,NW67-2,
NW137-5,NW151-22,,NW68-3,
NW138-12,NW151-24,,NW69-6,
NW142-17,NW151-7,,NW69-8,
NW142-19,NW151-8,,NW70-2,
NW143-7,NW156-23,,NW70-3,
NW147-3,NW156-24,,NW70-4,
NW149-3,NW162-17,,NW71-1,
NW149-4,NW162-18,,NW73-14,
NW149-5,NW162-21,,NW74-7,
NW151-1,NW167-15,,NW76-12,
NW151-13,NW172-19,,NW76-13,
NW151-19,NW173-1,,NW76-14,
NW151-2,NW175-1,,NW76-15,
NW151-21,NW177-13,,NW77-13,
NW151-22,NW17717,,NW77-15,
NW151-24,NW17718,,NW77-16,
NW151-7,NW17723,,NW78-1,
NW151-8,NW17724,,NW84-1,
NW156-23,NW17797,,NW84-13,
NW156-24,NW17801,,NW84-5,
NW162-17,NW17892,,NW95-1,
NW162-18,NW1-8,,NW95-2,
NW162-21,NW23-2,,NW95-4,
NW167-15,NW23-5,,NW95-5,
NW172-19,NW23-6,,NW96-16,
NW173-1,NW24-13,,OE-12,
NW175-1,NW28-1,,OE-27,
NW177-13,NW6-2,,OE-29,
NW17717,NW62-2,,OE-48,
NW17718,NW6-3,,PM11-03,
NW17723,NW63-16,,PO15002,
NW17724,NW63-21,,PR07002,
NW17797,NW63-3,,RPVL-00047,
NW17801,NW6-4,,RPVL-00118,
NW17892,NW67-2,,RV00Q028,
NW1-8,NW68-3,,RV03H454,
NW23-2,NW69-6,,RV03-H595,
NW23-5,NW69-8,,RV06H852,
NW23-6,NW70-2,,RV08H435,
NW24-13,NW70-3,,RV08J370,
NW28-1,NW70-4,,RVcoll.11-J514,
NW6-2,NW71-1,,Rvcoll.140711ZG95,
NW62-2,NW73-14,,RVcoll.LR08-D680,
NW6-3,NW74-7,,RW80003,
NW63-16,NW76-12,,SIMGT1-05,
NW63-21,NW76-13,,SKam1,
NW63-3,NW76-14,,SPM029,
NW6-4,NW76-15,,SPM031,
NW67-2,NW77-13,,SR089.01,
NW68-3,NW77-15,,ST-2011-54CI,
NW69-6,NW77-16,,TheBet,
NW69-8,NW78-1,,TLMF_Lep_02741,
NW70-2,NW84-1,,TLMF_Lep_12599,
NW70-3,NW84-13,,UASM_9900078,
NW70-4,NW84-5,,UK1-24,
NW71-1,NW95-1,,UK2-14,
NW73-14,NW95-2,,UK2-2,
NW74-7,NW95-4,,UK2-21,
NW76-12,NW95-5,,UK2-23,
NW76-13,NW96-16,,UK4-2,
NW76-14,OE-12,,UK4-3,
NW76-15,OE-27,,VL01B424,
NW77-13,OE-29,,VL01L152,
NW77-15,OE-48,,VL02L518,
