Species name,Full name,Family,Subfamily,Genus,Species,ID,Voucher,Dataset,COI-barcode,COI-3',nuclear,voucher_identical,ArgKin,CAD,DDC,EF-1a,GAPDH,H3,IDH,MDH,RpS2,RpS5,wingless,Remarks
Anthocharis euphenoides,"Anthocharis euphenoides Staudinger, 1869",Pieridae,Pierinae,Anthocharis,euphenoides,NW151-1,NW151-1,Pieridae,KM046798,KM046798,TRUE,FALSE,,KM046494,,AY870560,KM046840,,KM046734,KM046671,,KM046600,AY954604,
Anthocharis gruneri,"Anthocharis gruneri Herrich-Schäffer, 1851",Pieridae,Pierinae,Anthocharis,gruneri,NMNHL030-10,BC_SB_Lep_0030,Pieridae,HM888370,,FALSE,#N/A,,,,,,,,,,,,
Apatura ilia,"Apatura ilia ([Denis & Schiffermüller], 1775)",Nymphalidae,Apaturinae,Apatura,ilia,NCBI04,BC_ZSM_Lep_30727,Apaturinae,HM393229,,TRUE,FALSE,,,,JX185969,,,,,,,,
Apatura iris,"Apatura iris (Linnaeus, 1758)",Nymphalidae,Apaturinae,Apatura,iris,NW69-6,NW69-6,Apaturinae,AY090199,AY090199,TRUE,TRUE,EU141280,EU141335,,AY090165,EU141513,,EU141572,EU141636,EU141692,EU141413,AY090132,
Apatura metis,"Apatura metis Freyer, 1829",Nymphalidae,Apaturinae,Apatura,metis,NW100-1,NW100-1,Apaturinae,MN752702,MN752702,TRUE,FALSE,,,,GU372611,,,,,,,MN752840,
Aphantopus hyperantus,"Aphantopus hyperantus (Linnaeus, 1758)",Nymphalidae,Satyrinae,Aphantopus,hyperantus,EW2-1,EW2-1,Satyrinae2,AY090211,AY090211,TRUE,TRUE,,,,AY090177,GQ357458,,,,,GQ357588,KR139111,
Aporia crataegi,"Aporia crataegi (Linnaeus, 1758)",Pieridae,Pierinae,Aporia,crataegi,NW149-4,NW149-4,Pieridae,EU141361,EU141361,TRUE,TRUE,,EU141316,,EU136668,EU141496,,EU141553,EU141618,EU141679,EU141394,EU141242,
Araschnia levana,"Araschnia levana (Linnaeus, 1758)",Nymphalidae,Nymphalinae,Araschnia,levana,NW138-12,NW138-12,Nymphalinae,GQ864735,GQ864735,TRUE,TRUE,GQ864516,GQ864610,MN752817,GQ864829,GQ864925,,GQ865064,GQ865171,,GQ865391,GQ864423,
Archon apollinus,"Archon apollinus (Herbst, 1798)",Papilionidae,Parnassiinae,Archon,apollinus,FS-b-1868,FS-b-1868,Papilionidae,DQ351031,DQ351031,TRUE,TRUE,,,,DQ351111,,,,,,,DQ351135,
Arethusana arethusa,"Arethusana arethusa ([Denis & Schiffermüller], 1775)",Nymphalidae,Satyrinae,Arethusana,arethusa,CP11-06,CP11-06,Satyrinae2,DQ338863,DQ338863,TRUE,TRUE,,,,DQ339018,GQ357500,,,,,GQ357626,DQ338728,
Argynnis laodice,"Argynnis laodice (Pallas, 1771)",Nymphalidae,Heliconiinae,Argynnis,laodice,NW104-15,NW104-15,Heliconiinae_Limenitidinae,DQ922844,DQ922844,TRUE,TRUE,,,,DQ922876,KY773381,,,,,KY773485,DQ922812,
