"institution codes","number of results"
"UWM<POL>",""
"CTES",""
"JEPS",""
"SMF<DEU>",""
"UFMG<BRA>",""
"TRTE",""
"UBOCC",""
"UAM<ESP>",""
"ESK",""
"MUB",""
"LGMF",""
"EBCC",""
"DZUP",""
"CIB<CHN>",""
"UNSW<AUS>",""
"NMBT",""
"NHMC<GRC>",""
"AQUAMEB",""
"BJTC",""
"CONC",""
"FACU",""
"KAUM",""
"PGR",""
"CCTU",""
"BR<BEL>",""
"MH<IND>",""
"MRAC",""
"IPPAS",""
"TU<EST>",""
"DPIC",""
"IBUNAM",""
"F",""
"IBSC",""
"SDNHM",""
"NZFS",""
"NHMUK",""
"NCPF",""
"CFBH",""
"MSNP",""
"BEOU",""
"OSUC",""
"DBCUCH",""
"SY",""
"MIMB",""
"PTBG",""
"MUSM",""
"VBCCA",""
"KUN",""
"KPABG",""
"BCCM/MUCL",""
"DBVPG",""
"BUPL",""
"MICH",""
"UCONN",""
"PUL",""
"BCCM/LMG",""
"RGPG",""
"LY",""
"SERC<USA-MD>",""
"IBSBF",""
"SDSM",""
"MEDEL",""
"IRAN",""
"SCUF",""
"HUJ",""
"LACM",""
"TUZ",""
"HUI",""
"FMNH",""
"TFC<EST>",""
"NPCCAA",""
"ACCC",""
"ABTRI",""
"MCVE",""
"DBG",""
"GJO",""
"E",""
"AMWH",""
"TU<DEU>",""
"KUN-HKAS",""
"ALCB",""
"UOA/HCPF<GRC>",""
"PUCMF",""
"PE",""
"ABRIICC",""
"ZMBN",""
"NBGB<BEL>",""
"ARAN",""
"CCF<CZE>",""
"NTNU-VM",""
"ICEL",""
"CIBIO",""
"CNF",""
"iNAT",""
"iNat",""
"ANWC",""
"InaCC",""
"BNA<ESP>",""
"MNKNU",""
"BUQ",""
"MJG<DEU>",""
"NMW<GBR>",""
"MOR<USA-IL>",""
"PMNH<PAK>",""
